IB Offset,Index,Index + Base,Index: 0 Type: GL_FLOAT Size: 3 : Component 0,Index: 0 Type: GL_FLOAT Size: 3 : Component 1,Index: 0 Type: GL_FLOAT Size: 3 : Component 2,Index: 1 Type: GL_FLOAT Size: 2 : Component 0,Index: 1 Type: GL_FLOAT Size: 2 : Component 1
326,237,237,0.250,0.860,2.167,0.484,0.460
327,232,232,0.128,0.864,2.159,0.499,0.455
328,237,237,0.250,0.860,2.167,0.484,0.460
329,238,238,0.250,0.819,1.918,0.474,0.428
330,295,295,0.133,0.831,2.659,0.516,0.521
331,235,235,0.129,0.868,2.413,0.508,0.488
332,234,234,0.000,0.868,2.413,0.525,0.484
333,295,295,0.133,0.831,2.659,0.516,0.521
334,234,234,0.000,0.868,2.413,0.525,0.484
335,296,296,0.000,0.832,2.660,0.533,0.517
336,295,295,0.133,0.831,2.659,0.516,0.521
337,236,236,0.254,0.861,2.419,0.492,0.493
338,235,235,0.129,0.868,2.413,0.508,0.488
339,295,295,0.133,0.831,2.659,0.516,0.521
340,296,296,0.000,0.832,2.660,0.533,0.517
341,297,297,0.000,0.767,2.873,0.540,0.548
342,295,295,0.133,0.831,2.659,0.516,0.521
343,297,297,0.000,0.767,2.873,0.540,0.548
344,298,298,0.141,0.765,2.872,0.521,0.552
345,295,295,0.133,0.831,2.659,0.516,0.521
346,298,298,0.141,0.765,2.872,0.521,0.552
347,299,299,0.276,0.749,2.874,0.503,0.556
348,295,295,0.133,0.831,2.659,0.516,0.521
349,299,299,0.276,0.749,2.874,0.503,0.556
350,300,300,0.263,0.821,2.663,0.499,0.526
351,295,295,0.133,0.831,2.659,0.516,0.521
352,300,300,0.263,0.821,2.663,0.499,0.526
353,236,236,0.254,0.861,2.419,0.492,0.493
354,2638,2638,0.150,0.680,3.025,0.524,0.576
355,298,298,0.141,0.765,2.872,0.521,0.552
356,297,297,0.000,0.767,2.873,0.540,0.548
357,2638,2638,0.150,0.680,3.025,0.524,0.576
358,297,297,0.000,0.767,2.873,0.540,0.548
359,2639,2639,0.000,0.687,3.026,0.545,0.571
360,2638,2638,0.150,0.680,3.025,0.524,0.576
361,299,299,0.276,0.749,2.874,0.503,0.556
362,298,298,0.141,0.765,2.872,0.521,0.552
363,2638,2638,0.150,0.680,3.025,0.524,0.576
364,2639,2639,0.000,0.687,3.026,0.545,0.571
365,2640,2640,-0.000,0.609,3.166,0.548,0.591
366,2638,2638,0.150,0.680,3.025,0.524,0.576
367,2640,2640,-0.000,0.609,3.166,0.548,0.591
368,2641,2641,0.157,0.597,3.166,0.526,0.597
369,2638,2638,0.150,0.680,3.025,0.524,0.576
370,2641,2641,0.157,0.597,3.166,0.526,0.597
371,2642,2642,0.304,0.564,3.166,0.505,0.603
372,2638,2638,0.150,0.680,3.025,0.524,0.576
373,2642,2642,0.304,0.564,3.166,0.505,0.603
374,2643,2643,0.293,0.655,3.026,0.505,0.581
375,2638,2638,0.150,0.680,3.025,0.524,0.576
376,2643,2643,0.293,0.655,3.026,0.505,0.581
377,299,299,0.276,0.749,2.874,0.503,0.556
378,3646,3646,0.420,0.609,3.030,0.487,0.588
379,2643,2643,0.293,0.655,3.026,0.505,0.581
380,2642,2642,0.304,0.564,3.166,0.505,0.603
381,3646,3646,0.420,0.609,3.030,0.487,0.588
382,2642,2642,0.304,0.564,3.166,0.505,0.603
383,3647,3647,0.430,0.512,3.167,0.487,0.611
384,3646,3646,0.420,0.609,3.030,0.487,0.588
385,299,299,0.276,0.749,2.874,0.503,0.556
386,2643,2643,0.293,0.655,3.026,0.505,0.581
387,3646,3646,0.420,0.609,3.030,0.487,0.588
388,3623,3623,0.402,0.711,2.883,0.486,0.563
389,299,299,0.276,0.749,2.874,0.503,0.556
390,3646,3646,0.420,0.609,3.030,0.487,0.588
391,3647,3647,0.430,0.512,3.167,0.487,0.611
392,2650,2650,0.545,0.447,3.169,0.471,0.619
393,3646,3646,0.420,0.609,3.030,0.487,0.588
394,2650,2650,0.545,0.447,3.169,0.471,0.619
395,2649,2649,0.539,0.550,3.038,0.471,0.596
396,3646,3646,0.420,0.609,3.030,0.487,0.588
397,2649,2649,0.539,0.550,3.038,0.471,0.596
398,2648,2648,0.524,0.663,2.899,0.470,0.571
399,3646,3646,0.420,0.609,3.030,0.487,0.588
400,2648,2648,0.524,0.663,2.899,0.470,0.571
401,3623,3623,0.402,0.711,2.883,0.486,0.563
402,3621,3621,0.385,0.793,2.677,0.483,0.533
403,299,299,0.276,0.749,2.874,0.503,0.556
404,3623,3623,0.402,0.711,2.883,0.486,0.563
405,3621,3621,0.385,0.793,2.677,0.483,0.533
406,3623,3623,0.402,0.711,2.883,0.486,0.563
407,2648,2648,0.524,0.663,2.899,0.470,0.571
408,3621,3621,0.385,0.793,2.677,0.483,0.533
409,300,300,0.263,0.821,2.663,0.499,0.526
410,299,299,0.276,0.749,2.874,0.503,0.556
411,3621,3621,0.385,0.793,2.677,0.483,0.533
